file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,86,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,22
style.css,87,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,14
style.css,88,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,89,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,90,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,12
style.css,91,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,19
style.css,92,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,15
style.css,93,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,37
style.css,94,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,12
style.css,95,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,12
style.css,96,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,15
style.css,97,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,17
style.css,98,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,18
style.css,99,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,38
style.css,100,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,101,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,102,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,18
style.css,103,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,59
style.css,104,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,105,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
